                      _                    __ _     _   
 /\   /\___ _ __   __| | ___  _ __ ___    / /(_)___| |_ 
 \ \ / / _ \ '_ \ / _` |/ _ \| '__/ __|  / / | / __| __|
  \ V /  __/ | | | (_| | (_) | |  \__ \ / /__| \__ \ |_ 
   \_/ \___|_| |_|\__,_|\___/|_|  |___/ \____/_|___/\__|



004097	DATEX DIVISION OF
0040EF	HYPERCOM, INC.
0040F0	Micro Systems Inc
0040F1	Chuo Electronics Co., Ltd.
0040F2	JANICH & KLASS COMPUTERTECHNIK
0040F3	Netcor
0040F4	Cameo Communications, Inc.
0040F5	OEM Engines
0040F6	Katron Computers Inc
0040F7	Polaroid Corporation
0040F8	SYSTEMHAUS DISCOM
0040F9	Combinet
0040FA	Microboards Inc
0040FB	Cascade Communications Corp.
0040FC	IBR COMPUTER TECHNIK GMBH
0040FD	Lxe
0040FE	SYMPLEX COMMUNICATIONS
0040FF	Telebit Corporation		Personal NetBlazer
0041B4	Wuxi Zhongxing Optoelectronics Technology Co.,Ltd.
0041D2	Cisco Systems, Inc
004252	RLX Technologies
00425A	Cisco Systems, Inc
004268	Cisco Systems, Inc
0043FF	KETRON S.R.L.
004501	Versus Technology, Inc.
00464B	HUAWEI TECHNOLOGIES CO.,LTD
004854	Digital SemiConductor		21143/2 based 10/100
004A77	zte corporation
004BF3	SHENZHEN MERCURY COMMUNICATION TECHNOLOGIES CO.,LTD.
004D32	Andon Health Co.,Ltd.
004F49	Realtek
004F4B	Pine Technology Ltd.
005000	NEXO COMMUNICATIONS, INC.
005001	YAMASHITA SYSTEMS CORP.
005002	OMNISEC AG
005003	Xrite Inc
005004	3com				3C90X
005006	TAC AB
005007	SIEMENS TELECOMMUNICATION SYSTEMS LIMITED
005008	TIVA MICROCOMPUTER CORP. (TMC)
005009	PHILIPS BROADBAND NETWORKS
00500A	IRIS TECHNOLOGIES, INC.
00500B	Cisco Systems, Inc
00500C	e-Tek Labs, Inc.
00500D	SATORI ELECTORIC CO., LTD.
00500E	CHROMATIS NETWORKS, INC.
00500F	Cisco
005010	NovaNET Learning, Inc.
005012	Cbl-                   # CBL - GMBH
005013	Chaparral Network Storage
005014	Cisco Systems, Inc
005015	BRIGHT STAR ENGINEERING
005016	Molex Canada Ltd
005017	RSR S.R.L.
005018	AMIT, Inc.
005019	SPRING TIDE NETWORKS, INC.
00501A	IQinVision
00501B	ABL CANADA, INC.
00501C	JATOM SYSTEMS, INC.
00501E	Grass Valley, A Belden Brand
00501F	MRG SYSTEMS, LTD.
005020	MEDIASTAR CO., LTD.
005021	EIS INTERNATIONAL, INC.
005022	ZONET TECHNOLOGY, INC.
005023	PG DESIGN ELECTRONICS, INC.
005024	NAVIC SYSTEMS, INC.
005026	COSYSTEMS, INC.
005027	GENICOM CORPORATION
005028	AVAL COMMUNICATIONS
005029	1394 PRINTER WORKING GROUP
00502A	Cisco Systems, Inc
00502B	GENRAD LTD.
00502C	SOYO COMPUTER, INC.
00502D	ACCEL, INC.
00502E	CAMBEX CORPORATION
00502F	TollBridge Technologies, Inc.
005030	FUTURE PLUS SYSTEMS
005031	AEROFLEX LABORATORIES, INC.
005032	PICAZO COMMUNICATIONS, INC.
005033	MAYAN NETWORKS
005036	NETCAM, LTD.
005037	KOGA ELECTRONICS CO.
005038	DAIN TELECOM CO., LTD.
005039	MARINER NETWORKS
00503A	DATONG ELECTRONICS LTD.
00503B	MEDIAFIRE CORPORATION
00503C	TSINGHUA NOVEL ELECTRONICS
00503E	Cisco Systems, Inc
00503F	ANCHOR GAMES
005040	Panasonic Electric Works Co., Ltd.
005041	Coretronic Corporation
005042	SCI MANUFACTURING SINGAPORE PTE, LTD.
005043	MARVELL SEMICONDUCTOR, INC.
005044	ASACA CORPORATION
005045	RIOWORKS SOLUTIONS, INC.
005046	MENICX INTERNATIONAL CO., LTD.
005047	Private
005048	INFOLIBRIA
005049	Arbor Networks Inc
00504A	ELTECO A.S.
00504B	BARCONET N.V.
00504C	Galil Motion Control
00504D	Repotec Group
00504E	UMC				UM9008 NE2000-compatible ISA Card for PC
00504F	OLENCOM ELECTRONICS
005050	Cisco
005051	IWATSU ELECTRIC CO., LTD.
005052	TIARA NETWORKS, INC.
005053	Cisco Systems, Inc
005054	Cisco Systems, Inc
005055	DOMS A/S
005056	VMware, Inc.
005057	BROADBAND ACCESS SYSTEMS
005058	Sangoma Technologies
005059	Ibahn
00505A	NETWORK ALCHEMY, INC.
00505B	KAWASAKI LSI U.S.A., INC.
00505C	TUNDO CORPORATION
00505E	DIGITEK MICROLOGIC S.A.
00505F	BRAND INNOVATORS
005060	TANDBERG TELECOM AS
005062	KOUWELL ELECTRONICS CORP.  **
005063	OY COMSEL SYSTEM AB
005064	CAE ELECTRONICS
005065	TDK-Lambda Corporation
005066	AtecoM GmbH advanced telecomunication modules
005067	AEROCOMM, INC.
005068	ELECTRONIC INDUSTRIES ASSOCIATION
005069	PixStream Incorporated
00506A	EDEVA, INC.
00506B	Spx-Ateg
00506C	Beijer Electronics Products AB
00506D	VIDEOJET SYSTEMS
00506E	CORDER ENGINEERING CORPORATION
00506F	G-CONNECT
005070	CHAINTECH COMPUTER CO., LTD.
005071	AIWA CO., LTD.
005072	CORVIS CORPORATION
005073	Cisco Systems, Inc
005074	ADVANCED HI-TECH CORP.
005075	KESTREL SOLUTIONS
005076	IBM Corp
005077	PROLIFIC TECHNOLOGY, INC.
005078	MEGATON HOUSE, LTD.
005079	Private
00507A	XPEED, INC.
00507B	MERLOT COMMUNICATIONS
00507C	VIDEOCON AG
00507D	Ifp
00507E	NEWER TECHNOLOGY
00507F	DrayTek Corp.
005080	Cisco Systems, Inc
005081	MURATA MACHINERY, LTD.
005082	FORESSON CORPORATION
005083	GILBARCO, INC.
005084	ATL PRODUCTS
005086	TELKOM SA, LTD.
005087	TERASAKI ELECTRIC CO., LTD.
005088	AMANO CORPORATION
005089	SAFETY MANAGEMENT SYSTEMS
00508B	Hewlett Packard
00508C	RSI SYSTEMS
00508D	ABIT COMPUTER CORPORATION
00508E	OPTIMATION, INC.
00508F	ASITA TECHNOLOGIES INT'L LTD.
005090	Dctri
005091	NETACCESS, INC.
005092	Rigaku Corporation Osaka Plant
005093	Boeing
005094	ARRIS Group, Inc.
005095	PERACOM NETWORKS
005096	SALIX TECHNOLOGIES, INC.
005097	MMC-EMBEDDED COMPUTERTECHNIK GmbH
005098	GLOBALOOP, LTD.
005099	3COM EUROPE, LTD.
00509A	TAG ELECTRONIC SYSTEMS
00509B	SWITCHCORE AB
00509C	BETA RESEARCH
00509D	THE INDUSTREE B.V.
00509E	Les Technologies SoftAcoustik Inc.
00509F	HORIZON COMPUTER
0050A0	DELTA COMPUTER SYSTEMS, INC.
0050A1	CARLO GAVAZZI, INC.
0050A2	Cisco Systems, Inc
0050A3	TransMedia Communications, Inc.
0050A4	IO TECH, INC.
0050A5	CAPITOL BUSINESS SYSTEMS, LTD.
0050A6	OPTRONICS
0050A7	Cisco Systems, Inc
0050A8	OpenCon Systems, Inc.
0050A9	MOLDAT WIRELESS TECHNOLGIES
0050AA	KONICA MINOLTA HOLDINGS, INC.
0050AB	NALTEC, Inc.
0050AC	MAPLE COMPUTER CORPORATION
0050AD	CommUnique Wireless Corp.
0050AE	FDK Co., Ltd
0050AF	INTERGON, INC.
0050B0	TECHNOLOGY ATLANTA CORPORATION
0050B1	GIDDINGS & LEWIS
0050B2	BRODEL GmbH
0050B3	VOICEBOARD CORPORATION
0050B4	SATCHWELL CONTROL SYSTEMS, LTD
0050B5	FICHET-BAUCHE
0050B6	GOOD WAY IND. CO., LTD.
0050B7	BOSER TECHNOLOGY CO., LTD.
0050B8	INOVA COMPUTERS GMBH & CO. KG
0050B9	XITRON TECHNOLOGIES, INC.
0050BA	D-Link Corporation
0050BB	CMS TECHNOLOGIES
0050BC	HAMMER STORAGE SOLUTIONS
0050BD	Cisco
0050BE	FAST MULTIMEDIA AG
0050BF	Metalligence Technology Corp.
0050C0	GATAN, INC.
0050C1	GEMFLEX NETWORKS, LTD.
0050C2	IEEE Registration Authority
0050C4	Imd
0050C5	ADS Technologies, Inc
0050C6	LOOP TELECOMMUNICATION INTERNATIONAL, INC.
0050C7	Private
0050C8	Addonics Technologies, Inc.
0050C9	MASPRO DENKOH CORP.
0050CA	NET TO NET TECHNOLOGIES
0050CB	Jetter
0050CC	Xyratex
0050CD	DIGIANSWER A/S
0050CE	LG INTERNATIONAL CORP.
0050CF	VANLINK COMMUNICATION TECHNOLOGY RESEARCH INSTITUTE
0050D0	MINERVA SYSTEMS
0050D1	Cisco Systems, Inc
0050D2	CMC Electronics Inc
0050D3	DIGITAL AUDIO PROCESSING PTY. LTD.
0050D4	JOOHONG INFORMATION &
0050D5	AD SYSTEMS CORP.
0050D6	ATLAS COPCO TOOLS AB
0050D7	Telstrat
0050D8	UNICORN COMPUTER CORP.
0050D9	ENGETRON-ENGENHARIA ELETRONICA IND. e COM. LTDA
0050DA	3COM CORPORATION
0050DB	CONTEMPORARY CONTROL
0050DC	TAS TELEFONBAU A. SCHWABE GMBH & CO. KG
0050DD	SERRA SOLDADURA, S.A.
0050DE	SIGNUM SYSTEMS CORP.
0050DF	AirFiber, Inc.
0050E1	NS TECH ELECTRONICS SDN BHD
0050E2	Cisco
0050E3	ARRIS Group, Inc.
0050E4	Apple, Inc.
0050E6	HAKUSAN CORPORATION
0050E7	PARADISE INNOVATIONS (ASIA)
0050E8	NOMADIX INC.
0050EA	XEL COMMUNICATIONS, INC.
0050EB	ALPHA-TOP CORPORATION
0050EC	OLICOM A/S
0050ED	ANDA NETWORKS
0050EE	TEK DIGITEL CORPORATION
0050EF	SPE Systemhaus GmbH
0050F0	Cisco Systems, Inc
0050F1	Intel Corporation
0050F2	MICROSOFT CORP.
0050F3	GLOBAL NET INFORMATION CO., Ltd.
0050F4	SIGMATEK GMBH & CO. KG
0050F6	PAN-INTERNATIONAL INDUSTRIAL CORP.
0050F7	VENTURE MANUFACTURING (SINGAPORE) LTD.
0050F8	ENTREGA TECHNOLOGIES, INC.
0050F9	Sensormatic Electronics LLC
0050FA	OXTEL, LTD.
0050FB	VSK ELECTRONICS
0050FC	Edimax Technology Co. Ltd.
0050FD	VISIONCOMM CO., LTD.
0050FE	PCTVnet ASA
0050FF	HAKKO ELECTRONICS CO., LTD.
005218	Wuxi Keboda Electron Co.Ltd
00549F	Avaya Inc
0054AF	Continental Automotive Systems Inc.
0054BD	Swelaser AB
005500	Xerox
0055DA	IEEE Registration Authority
00562B	Cisco Systems, Inc
0056CD	Apple, Inc.
0057D2	Cisco Systems, Inc
005907	LenovoEMC Products USA, LLC
005979	Networked Energy Services
0059AC	KPN. B.V.
0059DC	Cisco Systems, Inc
005A13	HUAWEI TECHNOLOGIES CO.,LTD
005A39	SHENZHEN FAST TECHNOLOGIES CO.,LTD
005BA1	shanghai huayuan chuangxin software CO., LTD.
005CB1	Gospell DIGITAL TECHNOLOGY CO., LTD
005D03	Xilinx, Inc
005F86	Cisco Systems, Inc
006000	XYCOM INC.
006001	InnoSys, Inc.
006002	SCREEN SUBTITLING SYSTEMS, LTD
006003	TERAOKA WEIGH SYSTEM PTE, LTD.
006004	COMPUTADORES MODULARES SA
006005	FEEDBACK DATA LTD.
006006	SOTEC CO., LTD
006007	ACRES GAMING, INC.
006008	3Com				3Com PCI form factor 3C905 TX board
006009	Cisco				Catalyst 5000 Ethernet switch
00600A	SORD COMPUTER CORPORATION
00600B	LOGWARE GmbH
00600C	Eurotech Inc.
00600D	Digital Logic GmbH
00600E	WAVENET INTERNATIONAL, INC.
00600F	Westell Technologies Inc.
006010	NETWORK MACHINES, INC.
006011	CRYSTAL SEMICONDUCTOR CORP.
006012	POWER COMPUTING CORPORATION
006013	NETSTAL MASCHINEN AG
006014	EDEC CO., LTD.
006015	NET2NET CORPORATION
006016	Clariion
006017	TOKIMEC INC.
006018	STELLAR ONE CORPORATION
006019	Roche Diagnostics
00601A	KEITHLEY INSTRUMENTS
00601B	MESA ELECTRONICS
00601C	TELXON CORPORATION
00601D	LUCENT TECHNOLOGIES
00601E	SOFTLAB, INC.
00601F	STALLION TECHNOLOGIES
006020	PIVOTAL NETWORKING, INC.
006021	DSC CORPORATION
006022	VICOM SYSTEMS, INC.
006023	PERICOM SEMICONDUCTOR CORP.
006024	GRADIENT TECHNOLOGIES, INC.
006025	Active Imaging Inc.
006026	VIKING Modular Solutions
006027	Superior Modular Products
006028	MACROVISION CORPORATION
006029	CARY PERIPHERALS INC.
00602A	SYMICRON COMPUTER COMMUNICATIONS, LTD.
00602B	PEAK AUDIO
00602C	LINX Data Terminals, Inc.
00602D	ALERTON TECHNOLOGIES, INC.
00602E	CYCLADES CORPORATION
00602F	Cisco
006030	VillageTronic			used on Amiga
006031	HRK SYSTEMS
006032	I-CUBE, INC.
006033	ACUITY IMAGING, INC.
006034	ROBERT BOSCH GmbH
006035	DALLAS SEMICONDUCTOR, INC.
006036	AIT Austrian Institute of Technology GmbH
006037	NXP Semiconductors
006038	Nortel Networks
006039	SanCom Technology, Inc.
00603A	QUICK CONTROLS LTD.
00603B	AMTEC spa
00603C	HAGIWARA SYS-COM CO., LTD.
00603D	3cx
00603E	Cisco				100Mbps interface
00603F	PATAPSCO DESIGNS
006040	NETRO CORP.
006041	Yokogawa Digital Computer Corporation
006042	TKS (USA), INC.
006043	iDirect, INC.
006044	LITTON/POLY-SCIENTIFIC
006045	PATHLIGHT TECHNOLOGIES
006046	VMETRO, INC.
006047	Cisco
006048	EMC CORPORATION
006049	VINA TECHNOLOGIES
00604A	SAIC IDEAS GROUP
00604B	Safe-com GmbH & Co. KG
00604C	Sagemcom Broadband SAS
00604D	MMC NETWORKS, INC.
00604E	Cycle Computer (Sun MotherBoard Replacements)
00604F	Tattile SRL
006050	INTERNIX INC.
006051	QUALITY SEMICONDUCTOR
006052	Realtek				(RTL 8029 == PCI NE2000)
006053	TOYODA MACHINE WORKS, LTD.
006054	CONTROLWARE GMBH
006055	CORNELL UNIVERSITY
006056	NETWORK TOOLS, INC.
006057	Murata Manufacturing Co., Ltd.
006058	COPPER MOUNTAIN COMMUNICATIONS, INC.
006059	TECHNICAL COMMUNICATIONS CORP.
00605A	CELCORE, INC.
00605B	IntraServer Technology, Inc.
00605C	Cisco
00605D	SCANIVALVE CORP.
00605E	LIBERTY TECHNOLOGY NETWORKING
00605F	NIPPON UNISOFT CORPORATION
006060	Data Innovations North America
006061	WHISTLE COMMUNICATIONS CORP.
006062	TELESYNC, INC.
006063	PSION DACOM PLC.
006064	NETCOMM LIMITED
006065	BERNECKER & RAINER INDUSTRIE-ELEKTRONIC GmbH
006066	LACROIX Trafic
006067	Acer Lan
006068	Dialogic Corporation
006069	Brocade Communications Systems, Inc.
00606A	MITSUBISHI WIRELESS COMMUNICATIONS. INC.
00606B	Synclayer Inc.
00606C	Arescom
00606D	DIGITAL EQUIPMENT CORP.
00606E	DAVICOM SEMICONDUCTOR, INC.
00606F	CLARION CORPORATION OF AMERICA
006070	Cisco				routers (2524 and 4500)
006071	MIDAS LAB, INC.
006072	VXL INSTRUMENTS, LIMITED
006073	REDCREEK COMMUNICATIONS, INC.
006074	QSC LLC
006075	PENTEK, INC.
006076	SCHLUMBERGER TECHNOLOGIES RETAIL PETROLEUM SYSTEMS
006077	PRISA NETWORKS
006078	POWER MEASUREMENT LTD.
006079	Mainstream Data, Inc.
00607A	DVS GMBH
00607B	FORE SYSTEMS, INC.
00607C	WaveAccess, Ltd.
00607D	SENTIENT NETWORKS INC.
00607E	GIGALABS, INC.
00607F	AURORA TECHNOLOGIES, INC.
006080	MICROTRONIX DATACOM LTD.
006081	TV/COM INTERNATIONAL
006082	NOVALINK TECHNOLOGIES, INC.
006083	Cisco Systems, Inc.		3620/3640 routers
006084	DIGITAL VIDEO
006085	Storage Concepts
006086	LOGIC REPLACEMENT TECH. LTD.
006087	KANSAI ELECTRIC CO., LTD.
006088	WHITE MOUNTAIN DSP, INC.
006089	Xata
00608A	CITADEL COMPUTER
00608B	ConferTech International
00608C	3Com (1990 onwards)
00608D	UNIPULSE CORP.
00608E	HE ELECTRONICS, TECHNOLOGIE & SYSTEMTECHNIK GmbH
00608F	TEKRAM TECHNOLOGY CO., LTD.
006090	Artiza Networks Inc
006091	FIRST PACIFIC NETWORKS, INC.
006092	MICRO/SYS, INC.
006093	Varian
006094	AMD PCNET PCI
006095	ACCU-TIME SYSTEMS, INC.
006096	T.S. MICROTECH INC.
006097	3com
006098	HT COMMUNICATIONS
006099	SBE, Inc.
00609A	NJK TECHNO CO.
00609B	AstroNova, Inc
00609C	Perkin-Elmer Incorporated
00609D	PMI FOOD EQUIPMENT GROUP
00609E	ASC X3 - INFORMATION TECHNOLOGY STANDARDS SECRETARIATS
00609F	PHAST CORPORATION
0060A0	SWITCHED NETWORK TECHNOLOGIES, INC.
0060A1	VPNet, Inc.
0060A2	NIHON UNISYS LIMITED CO.
0060A3	CONTINUUM TECHNOLOGY CORP.
0060A4	GEW Technologies (PTY)Ltd
0060A5	PERFORMANCE TELECOM CORP.
0060A6	PARTICLE MEASURING SYSTEMS
0060A7	MICROSENS GmbH & CO. KG
0060A8	TIDOMAT AB
0060A9	GESYTEC MBH
0060AA	INTELLIGENT DEVICES INC. (IDI)
0060AB	LARSCOM INCORPORATED
0060AC	RESILIENCE CORPORATION
0060AD	MegaChips Corporation
0060AE	TRIO INFORMATION SYSTEMS AB
0060AF	PACIFIC MICRO DATA, INC.
0060B0	HP
0060B1	Input/Output, Inc.
0060B2	PROCESS CONTROL CORP.
0060B3	Z-COM, INC.
0060B4	GLENAYRE R&D INC.
0060B5	KEBA GmbH
0060B6	LAND COMPUTER CO., LTD.
0060B7	CHANNELMATIC, INC.
0060B8	CORELIS Inc.
0060B9	NEC Platforms, Ltd
0060BA	SAHARA NETWORKS, INC.
0060BB	Cabletron Systems, Inc.
0060BC	KeunYoung Electronics & Communication Co., Ltd.
0060BD	Enginuity Communications
0060BE	WEBTRONICS
0060BF	MACRAIGOR SYSTEMS, INC.
0060C0	Nera Networks AS
0060C1	WaveSpan Corporation
0060C2	MPL AG
0060C3	NETVISION CORPORATION
0060C4	SOLITON SYSTEMS K.K.
0060C5	ANCOT CORP.
0060C6	DCS AG
0060C7	AMATI COMMUNICATIONS CORP.
0060C8	KUKA WELDING SYSTEMS & ROBOTS
0060C9	ControlNet, Inc.
0060CA	HARMONIC SYSTEMS INCORPORATED
0060CB	HITACHI ZOSEN CORPORATION
0060CC	EMTRAK, INCORPORATED
0060CD	VideoServer, Inc.
0060CE	ACCLAIM COMMUNICATIONS
0060CF	ALTEON NETWORKS, INC.
0060D0	SNMP RESEARCH INCORPORATED
0060D1	CASCADE COMMUNICATIONS
0060D2	LUCENT TECHNOLOGIES TAIWAN TELECOMMUNICATIONS CO., LTD.
0060D3	At&T
0060D4	ELDAT COMMUNICATION LTD.
0060D5	AMADA MIYACHI Co., Ltd
0060D6	NovAtel Inc.
0060D7	ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE (EPFL)
0060D8	ELMIC SYSTEMS, INC.
0060D9	TRANSYS NETWORKS INC.
0060DA	Red Lion Controls, LP
0060DB	NTP ELEKTRONIK A/S
0060DC	NEC Magnus Communications,Ltd.
0060DD	MYRICOM, INC.
0060DE	Kayser-Threde GmbH
0060DF	Brocade Communications Systems, Inc.
0060E0	AXIOM TECHNOLOGY CO., LTD.
0060E1	ORCKIT COMMUNICATIONS LTD.
0060E2	QUEST ENGINEERING & DEVELOPMENT
0060E3	ARBIN INSTRUMENTS
0060E4	COMPUSERVE, INC.
0060E5	FUJI AUTOMATION CO., LTD.
0060E6	SHOMITI SYSTEMS INCORPORATED
0060E7	Randata
0060E8	HITACHI COMPUTER PRODUCTS (AMERICA), INC.
0060E9	ATOP TECHNOLOGIES, INC.
0060EA	StreamLogic
0060EB	FOURTHTRACK SYSTEMS
0060EC	HERMARY OPTO ELECTRONICS INC.
0060ED	RICARDO TEST AUTOMATION LTD.
0060EE	Apollo
0060EF	FLYTECH TECHNOLOGY CO., LTD.
0060F0	JOHNSON & JOHNSON MEDICAL, INC
0060F1	EXP COMPUTER, INC.
0060F2	LASERGRAPHICS, INC.
0060F3	Performance Analysis Broadband, Spirent plc
0060F4	ADVANCED COMPUTER SOLUTIONS, Inc.
0060F5	Phobos FastEthernet for Unix WS
0060F6	NEXTEST COMMUNICATIONS PRODUCTS, INC.
0060F7	DATAFUSION SYSTEMS
0060F8	Loran International Technologies Inc.
0060F9	DIAMOND LANE COMMUNICATIONS
0060FA	EDUCATIONAL TECHNOLOGY RESOURCES, INC.
0060FB	PACKETEER, INC.
0060FC	CONSERVATION THROUGH INNOVATION LTD.
0060FD	NetICs, Inc.
0060FE	LYNX SYSTEM DEVELOPERS, INC.
0060FF	QuVis, Inc.
006171	Apple, Inc.
0062EC	Cisco Systems, Inc
006440	Cisco Systems, Inc
0064A6	Maquet CardioVascular
00664B	HUAWEI TECHNOLOGIES CO.,LTD
006B8E	Shanghai Feixun Communication Co.,Ltd.
006B9E	Vizio, Inc
006BA0	SHENZHEN UNIVERSAL INTELLISYS PTE LTD
006BF1	Cisco Systems, Inc
006CBC	Cisco Systems, Inc
006CFD	Sichuan Changhong Electric Ltd.
006D52	Apple, Inc.
006DFB	Vutrix Technologies Ltd
006F64	Samsung Electronics Co.,Ltd
0070B0	M/A-COM INC. COMPANIES
0070B3	DATA RECALL LTD.
0071C2	PEGATRON CORPORATION
0071CC	Hon Hai Precision Ind. Co.,Ltd.
00738D	Shenzhen TINNO Mobile Technology Corp.
0073E0	Samsung Electronics Co.,Ltd
00749C	Ruijie Networks Co.,LTD
007532	INID BV
0075E1	Ampt, LLC
007686	Cisco Systems, Inc
007888	Cisco Systems, Inc
00789E	Sagemcom Broadband SAS
0078CD	Ignition Design Labs
007B18	SENTRY Co., LTD.
007DFA	Volkswagen Group of America
007E56	China Dragon Technology Limited
007F28	Actiontec Electronics, Inc
008000	Multitech Systems Inc
008001	Periphonics Corporation
008002	SATELCOM (UK) LTD
008003	HYTEC ELECTRONICS LTD.
008004	Antlow Computers, Ltd.
008005	Cactus Computer Inc.
008006	Compuadd Corporation
008007	Dlog NC-Systeme
008008	DYNATECH COMPUTER SYSTEMS
008009	Jupiter Systems (older MX-600 series machines)
00800A	JAPAN COMPUTER CORP.
00800B	CSK CORPORATION
00800C	VIDECOM LIMITED
00800D	Vosswinkel FU
00800E	ATLANTIX CORPORATION
00800F	SMC
008010	Commodore
008011	DIGITAL SYSTEMS INT'L. INC.
008012	IMS Corp.			IMS failure analysis tester
008013	Thomas Conrad Corp.
008014	ESPRIT SYSTEMS
008015	Seiko Systems Inc
008016	Wandel & Goltermann
008017	Pfu
008018	KOBE STEEL, LTD.
008019	Dayna Communications		"Etherprint" product
00801A	Bell Atlantic
00801B	Kodiak Technology
00801C	NEWPORT SYSTEMS SOLUTIONS
00801D	INTEGRATED INFERENCE MACHINES
00801E	XINETRON, INC.
00801F	KRUPP ATLAS ELECTRONIK GMBH
008020	NETWORK PRODUCTS
008021	Newbridge Networks Corporation
008022	SCAN-OPTICS
008023	Integrated Business Networks
008024	Kalpana
008025	Telit Wireless Solutions GmbH
008026	Network Products Corporation
008027	ADAPTIVE SYSTEMS, INC.
008028	TRADPOST (HK) LTD
008029	Microdyne Corporation
00802A	Test Systems & Simulations Inc
00802B	INTEGRATED MARKETING CO
00802C	The Sage Group PLC
00802D	Xylogics, Inc.			Annex terminal servers
00802E	Plexcom, Inc.
00802F	NATIONAL INSTRUMENTS CORP.
008030	NEXUS ELECTRONICS
008031	BASYS, CORP.
008032	ACCESS CO., LTD.
008033	Formation (?)
008034	SMT-Goupil
008035	Technology Works
008036	REFLEX MANUFACTURING SYSTEMS
008037	Ericsson Business Comm.
008038	Data Research & Applications
008039	ALCATEL STC AUSTRALIA
00803A	VARITYPER, INC.
00803B	APT Communications, Inc.
00803C	TVS ELECTRONICS LTD
00803D	Surigiken Co Ltd
00803E	Synernetics
00803F	Hyundai Electronics
008040	JOHN FLUKE MANUFACTURING CO.
